Date,Portfolio Value
2021-09-14,196455.52382909524
2021-09-15,197586.21908507496
2021-09-16,197257.30457195465
2021-09-17,195779.86853700515
2021-09-20,192622.59739073642
2021-09-21,192626.9722176739
2021-09-22,194936.50379462904
2021-09-23,199025.98294024274
2021-09-24,199917.89770294394
2021-09-27,198600.88814107154
2021-09-29,194821.6428753345
2021-09-30,192680.79594600317
2021-10-01,196058.66862578623
2021-10-04,193491.48754766607
2021-10-05,195634.48526554884
2021-10-06,196200.9078284016
2021-10-07,198380.27372344924
2021-10-08,197670.18041529463
2021-10-11,196229.23902325187
2021-10-12,196173.4108528125
2021-10-13,195868.70398271538
2021-10-14,198647.51145429994
2021-10-15,201065.1313716229
2021-10-18,201782.43406625575
2021-10-19,203469.12050321017
2021-10-20,204346.76361283497
2021-10-21,204980.29863214502
2021-10-22,205583.2585491663
2021-10-25,205722.9086614173
2021-10-26,207560.19342604175
2021-10-27,206320.12422080908
2021-10-28,209160.35987475314
2021-10-29,209063.53189702198
2021-11-01,209000.08355102263
2021-11-02,210538.53870102958
2021-11-03,211199.4840097253
2021-11-04,213768.867654739
2021-11-05,212673.20061585744
2021-11-08,213988.03058665476
2021-11-10,212385.77556912598
2021-11-11,212283.0514611508
2021-11-12,213159.21912544343
2021-11-15,213287.9591900489
2021-11-16,213317.9834045894
2021-11-17,211594.66550760483
2021-11-18,213684.42636722402
2021-11-19,213088.68478909077
2021-11-22,213332.71984305102
2021-11-23,214691.26490782556
2021-11-24,214309.14198213015
2021-11-26,207163.80623599456
2021-11-29,208220.3753837768
2021-11-30,204907.42103381074
2021-12-01,202456.61679252028
2021-12-02,205895.25695103602
2021-12-03,203929.71093195947
2021-12-06,206394.37530944656
2021-12-07,210914.21497209027
2021-12-08,210776.05953187085
2021-12-09,209522.86211952154
2021-12-10,210397.17949619793
2021-12-13,207764.25588918812
2021-12-14,208012.55732424016
2021-12-15,210955.9947750374
2021-12-16,209812.79305391276
2021-12-17,206548.94074513039
2021-12-20,203586.33503379097
2021-12-21,207637.3654014658
2021-12-23,209659.62574662198
2021-12-27,210988.87204731622
2021-12-28,211464.0215151621
2021-12-29,211630.40885410894
2021-12-30,211385.73694376083
2021-12-31,210870.80299401295
2022-01-03,213419.44827826068
2022-01-04,215548.87105150134
2022-01-05,213901.4406234494
2022-01-06,213457.08983488235
2022-01-07,213925.6396504888
2022-01-10,213174.92569581384
2022-01-11,214010.6238488493
2022-01-12,213762.9830059743
2022-01-13,212779.3485022592
2022-01-14,209983.2611708715
2022-01-18,206350.64375839315
2022-01-19,203659.148097742
2022-01-20,201734.48998011497
2022-01-21,198054.92810034315
2022-01-24,197881.65762050333
2022-01-25,199381.69082340505
2022-01-26,198630.1879339675
2022-01-27,198245.1992161256
2022-01-28,202546.63445990832
2022-01-31,205637.8238685993
2022-02-01,207355.3947918148
2022-02-02,207984.63247343845
2022-02-03,203548.77995618773
2022-02-07,206783.18838055432
2022-02-08,208392.62430297042
2022-02-09,209875.58408611343
2022-02-10,207666.44325769474
2022-02-11,204556.6696845927
2022-02-14,203572.02195910853
2022-02-15,206082.45838861697
2022-02-16,205965.72003378428
2022-02-17,203126.42014239947
